"","country","continent","year","above_60","life_exp","fertility","pop","density","mortality"
"1","Afghanistan","Asia",1950,4.50362007608296,26.85,7.67,77.52118,11.8855587752787,439.56
"2","Albania","Europe",1950,10.1317957166392,54.48,5.8,12.63171,43.9363826086957,165.17
"3","Algeria","Africa",1950,6.80831619830934,42.77,7.65,88.72247,3.72511147312469,292.13
"4","Angola","Africa",1950,4.94452484322238,30.7,6.93,43.54882,3.49312745648512,404.92
"5","Argentina","Americas",1950,7.04332108914932,61.61,3.16,171.50335,6.16829772694576,93.53
"6","Australia","Oceania",1950,12.4589366102932,69.01,3.07,81.77344,1.05633788989332,31.6
"7","Austria","Europe",1950,15.4411764705882,64.87,1.87,69.36445,82.7047215929415,75.32
"8","Bahrain","Asia",1950,4.34782608695652,41.04,7.03,1.15614,167.55652173913,305.95
"9","Bangladesh","Asia",1950,5.3836449134075,42.46,6.23,378.9468,263.1575,353.3
"10","Belgium","Europe",1950,15.9133055169217,66.32,2.3,86.28489,282.623288568621,59.32
"11","Benin","Africa",1950,11.0785749145925,33.22,5.75,22.55221,20.0250488367963,348.2
"12","Bolivia","Americas",1950,5.60265388868411,40.41,6.72,30.89649,2.81240237397368,308.27
"13","Bosnia and Herzegovina","Europe",1950,6.08336462636125,52.52,5.06,26.61293,51.9682288615505,183.91
"14","Botswana","Africa",1950,7.03883495145631,46.68,6.47,4.12533,0.709148574080759,251.74
"15","Brazil","Americas",1950,4.86874038942513,50.33,6.18,539.74726,6.33887101168777,228.53
"16","Bulgaria","Europe",1950,10.1641152944422,61.41,2.66,72.50999,65.3302009190017,148.18
"17","Burkina Faso","Africa",1950,3.77358490566038,30.37,6.03,42.84457,15.6241594340311,389.7
"18","Burundi","Africa",1950,5.17100977198697,38.07,6.82,23.08923,82.9652533237513,305.71
"19","Cambodia","Asia",1950,4.53394706559264,40.32,6.95,44.32716,24.4847326557667,288.78
"20","Cameroon","Africa",1950,5.70980743394536,38.83,5.54,44.66498,9.39445145549386,381.11
"21","Canada","Americas",1950,11.3270728688942,68.26,3.43,137.36997,1.37580881491326,48.7
"22","Central African Republic","Africa",1950,7.78533635676493,33.08,5.4,13.26653,2.12952743266236,381.22
"23","Chad","Africa",1950,6.91073632250103,37.02,6.06,25.02314,1.94884267912773,324.05
"24","Chile","Americas",1950,6.85404339250493,54.25,4.62,61.42899,8.12456056818633,238.67
"25","China","Asia",1950,7.49368751743273,41.04,5.29,5441.12923,56.6786656402735,317.13
"26","Colombia","Americas",1950,5.28421403567261,49.03,6.78,123.40899,10.8087576089337,194.44
"27","Comoros","Africa",1950,5.80645161290323,40.4,5.69,1.56334,84.0505376344086,286.06
"28","Congo, Dem. Rep.","Africa",1950,5.58246449388392,39.74,5.99,121.83661,5.19590124783569,291.17
"29","Congo, Rep.","Africa",1950,5.69306930693069,41.45,5.67,8.07726,2.36177192982456,283.97
"30","Costa Rica","Americas",1950,7.66045548654244,56.29,6.55,9.59489,18.7766927592955,148.93
"31","Cote d'Ivoire","Africa",1950,3.99361022364217,31.72,6.62,26.30131,8.15645661477392,367.88
"32","Croatia","Europe",1950,11.3447559709242,60.3,2.95,38.50295,68.0986027591086,117.8
"33","Cuba","Americas",1950,6.9606352424396,58.24,4.76,59.19997,53.8720265720266,44.11
"34","Czech Republic","Europe",1950,12.5028008066323,64.49,2.85,89.02619,112.877126917713,85.38
"35","Denmark","Europe",1950,13.3926480917818,70.37,2.58,42.6827,99.0547690879554,34.1
"36","Djibouti","Africa",1950,3.2258064516129,41.24,6.3,0.62001,2.67245689655172,283.51
"37","Dominican Republic","Americas",1950,4.36573311367381,45.1,7.51,23.6465,48.5853708650092,155.5
"38","Ecuador","Americas",1950,8.17350250811449,47.75,6.69,34.70162,12.2378403159825,243.51
"39","Egypt","Africa",1950,5.21545112257705,38.59,6.59,208.97237,20.8669798791752,369.69
"40","El Salvador","Americas",1950,6.03996366939146,43.62,6.16,21.99897,104.557842205323,247.34
"41","Equatorial Guinea","Africa",1950,8.8495575221239,34.35,5.51,2.25536,8.0404991087344,350.36
"42","Eritrea","Africa",1950,5.16185476815398,36.29,6.92,11.4215,9.71215986394558,335.38
"43","Ethiopia","Africa",1950,4.8006509357201,32.95,7.35,181.28034,14.8359391112202,357.05
"44","Finland","Europe",1950,10.1745635910224,64.25,3.16,40.08299,11.8536123022327,50.96
"45","France","Europe",1950,16.2403786393842,66.43,2.83,418.79607,76.2570458311331,57.1
"46","Gabon","Africa",1950,11.4893617021277,35.59,3.95,4.733,1.76822206448238,327.78
"47","Gambia","Africa",1950,4.65116279069767,31.52,5.23,2.71372,24.0152212389381,401.34
"48","Germany","Europe",1950,14.6001521001521,66.91,2.07,697.86246,195.496108916716,61.17
"49","Ghana","Africa",1950,4.11646586345382,41.37,6.37,49.80878,20.8806824851178,256.7
"50","Greece","Europe",1950,9.96563573883162,65.5,2.27,75.66002,57.3355713852683,44.05
"51","Guatemala","Americas",1950,4.25802351445821,41.86,7.25,31.46073,28.892212324364,279.9
"52","Guinea","Africa",1950,8.10087886893389,32.95,5.98,30.93651,12.5829781176279,363.1
"53","Guinea-Bissau","Africa",1950,5.79150579150579,39.26,8.51,5.35429,14.819512870191,282.22
"54","Haiti","Americas",1950,5.5883266066439,36.24,6.31,32.21277,116.082054054054,339.25
"55","Honduras","Americas",1950,6.18695359784802,41.57,7.47,14.87235,13.2210418703885,269.96
"56","Hungary","Europe",1950,11.3193403298351,62.09,2.79,93.37723,100.373245189724,116.28
"57","Iceland","Europe",1950,10.4895104895105,71.07,3.62,1.42656,1.38500970873786,30.7
"58","India","Asia",1950,5.39238096262552,34.77,5.89,3763.25205,114.479902715331,267.72
"59","Indonesia","Asia",1950,6.22683084899546,36.51,5.35,695.43319,36.5139212525662,298.11
"60","Iran","Asia",1950,8.25400579435937,39.94,6.92,171.19263,9.80962266853852,307.38
"61","Iraq","Asia",1950,4.51127819548872,34.34,8.11,57.19191,13.0479809271765,364.3
"62","Ireland","Europe",1950,14.7861232738296,65.87,3.48,29.13093,41.4498150256118,54.2
"63","Israel","Asia",1950,6.19539316918189,64.09,4.52,12.57971,56.9991391028546,61.37
"64","Italy","Europe",1950,12.0282103265324,65.76,2.45,465.98602,154.637957124842,89.1
"65","Jamaica","Americas",1950,5.76512455516014,57.45,3.8,14.02896,127.652047315742,136.91
